feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,label
0.001230153,0.2987455,-0.2741379,-0.8905919,-0.4546708,-0.9916465,0.0601436,1.340215,-0.4922065,-0.6204749,0.4898421,0.356887,0.1054142,-0.930468,-0.02925182,0.6953032,0
-1.344215,-0.4576158,-1.901223,-1.289538,-1.841735,-0.2350911,-1.267447,0.2712643,0.1567511,-0.1869309,-2.51676,-0.5386929,-0.04850094,0.113309,-1.530136,-0.4777533,0
-0.9785191,-0.8088372,1.060899,-0.8075347,-0.03252171,0.8843899,-0.5836005,-0.111702,0.1104641,0.06378178,-1.225056,0.07614023,1.358823,-1.547145,0.8593827,0.119354,2
-0.6414704,2.000417,0.7622597,-1.199289,0.07451623,0.5766896,-0.1887821,0.6829103,-0.06651732,0.6672475,1.438523,-0.6756623,0.2031386,-0.4633076,0.1272684,-1.187195,0
-0.5793016,-0.196196,0.8987639,1.145222,-1.323528,-0.7946424,0.6469034,-1.99242,-0.4631699,-0.09728692,1.257015,0.6894039,-0.3272134,-0.3685759,-0.2501954,1.523529,1
-0.4280249,-0.3036804,0.3525891,-0.1207704,-0.1972842,-1.114067,-0.01152147,-0.4435812,1.166128,0.6530885,-0.02414361,0.668381,-0.3398696,1.052126,-0.005399561,0.5833824,2
-1.290893,0.34668,-1.688204,-2.035329,-0.3044769,-0.8999276,0.1640528,2.244757,-0.8317232,-0.6239436,0.2054039,0.4930133,-0.1764061,-0.2059303,0.702463,0.5199077,0
-1.033676,-0.07918132,0.03528685,-1.054485,0.2598391,-0.8579565,0.9720667,0.1927459,0.08930649,-0.5910283,-0.1186098,-1.997746,-1.131407,0.3628398,-2.128567,0.8466085,1
-1.746096,0.7567385,-0.845497,0.7789911,0.1309512,-1.536835,1.249149,1.441707,-0.06580491,-0.2739163,-0.159867,-0.9751523,1.098587,-0.5428919,-0.05119041,-0.7932964,0
-0.6260731,-1.277725,1.257069,-0.1540876,0.9659216,0.0133246,-0.6944035,-0.3266852,-0.560231,0.007959099,-0.3752668,-0.2999217,-1.378575,-0.8068459,1.654058,-0.6712332,2
-1.054094,0.3373263,1.407272,-1.454024,-0.2085218,-0.6320525,-1.761019,0.7349267,-0.02344392,0.07144184,-0.7523115,0.4547842,-0.5392973,-0.1429032,-1.108261,-1.216103,0
