run,seed,dataset,model,train_rows,test_rows,features,classes,nodes,accuracy,object_memory_bytes,static_memory_bytes,memory_saved_percent,object_predict_ms,static_predict_ms,time_saved_percent
1,1,data/mushroom.csv,forest,6093,2031,117,2,1293,1.0,246448,16809,93.17949425436603,35.129291999510315,6.593749999410647,81.23005154928097
2,2,data/mushroom.csv,forest,6093,2031,117,2,1327,1.0,252680,17251,93.17278771568782,35.89687499970751,7.071041999552108,80.30178950226245
3,3,data/mushroom.csv,forest,6093,2031,117,2,1285,1.0,245176,16705,93.18652722941887,35.0704170004974,6.670249999842781,80.98040864541709
4,4,data/mushroom.csv,forest,6093,2031,117,2,1267,1.0,241880,16471,93.19042500413428,35.124957999869366,6.641582999691309,81.0915560391104
5,5,data/mushroom.csv,forest,6093,2031,117,2,1317,1.0,250852,17121,93.17486007685807,35.01341700030025,6.561666999914451,81.25956401268067
6,6,data/mushroom.csv,forest,6093,2031,117,2,1253,1.0,239360,16289,93.19476938502673,34.63687499970547,6.444000000556116,81.39555026078158
7,7,data/mushroom.csv,forest,6093,2031,117,2,1251,1.0,238916,16263,93.19300507291265,35.08958400016127,6.6229169997313875,81.12568960720381
8,8,data/mushroom.csv,forest,6093,2031,117,2,1277,1.0,243764,16601,93.18972448761917,34.63320799983194,6.526459000269824,81.15548810753687
9,9,data/mushroom.csv,forest,6093,2031,117,2,1343,1.0,255616,17459,93.16983287431147,35.22925000015675,6.675583000287588,81.05102152257602
10,10,data/mushroom.csv,forest,6093,2031,117,2,1303,1.0,248360,16939,93.1796585601546,34.901959000308125,6.487833000392129,81.41126404871757
